No,Effect ID,Effect Name,Sector,Category,Keywords,Runtime,Light Mode,Dark Mode,Best For,Forbidden Gimmicks,Description,CLI Command
11,agency-prism,Optical Caustic Glass Prism,Creative Agency,Domain Stage,"creative, agency, design studio, portfolio, prism, optics, refraction, caustics",Three.js r128,"Optically pure triangular glass prism refracting white daylight into editorial spectral hues","Dark velvet backdrop with luminous chromatic dispersion rays and kinetic typographic shards","Creative agency portfolios, design studio monographs, digital production showcases","Random glossy floating chrome spheres, generic neon gradient meshes, dripping cyber paint","Physical glass prism simulation with real-time chromatic aberration, internal total reflection, and caustic focus","python bc_design.py --spatial agency-spatial"
12,gaming-terrain,Procedural Polyhedral Spatial Terrain,Gaming,Domain Stage,"gaming, game, interactive, spatial, terrain, polyhedral, low-poly, hexagonal",Three.js r128,"Terracotta clay faceted terrain with hairline contour edges on bone paper","Obsidian basalt low-poly hexagonal grid with glowing amber elevation contours","Indie game studios, spatial game engines, interactive metaverse chronicles","Pixelated 8-bit joystick clipart, generic gamer skulls, rainbow RGB keyboard glows","Procedural hexagonal topographical terrain modulated by simplex noise elevation curves and pointer terraforming","python bc_design.py --spatial gaming-spatial"
13,food-vessel,Artisanal Terracotta Vessel & Flavor Herbarium,Food & Restaurant,Domain Stage,"food, restaurant, dining, culinary, cuisine, chef, vessel, terracotta, herbarium",Three.js r128,"Handcrafted warm terracotta dishware with organic steam dissipator and sage botanical geometry","Dark basalt tabletop with warm culinary lantern embers and procedural spice dust motes","Fine dining establishments, artisanal bakeries, culinary institutes, organic food purveyors","Spinning cartoon hamburgers, pizza slices, neon chef hats, flying forks and knives","3D tactile terracotta culinary vessel with laminar thermal steam dissipation and procedural botanical herbarium","python bc_design.py --spatial food-spatial"
14,fitness-kinetic,Kinetic Musculoskeletal Tension Lines,Fitness,Domain Stage,"fitness, wellness, gym, athletic, training, biomechanics, cardio, performance",Three.js / Canvas,"Bone white athletic surface with terracotta muscular vector lines and carbon-fiber accents","Charcoal obsidian with luminous amber caloric burn vectors and biometric strain gauges","Athletic performance platforms, fitness trackers, biomechanical therapy centers, sports science","Cartoon bouncing dumbbells, spinning gym shoes, flames of fire around muscular biceps","Procedural kinetic gyroscope tracing tension vector lines, joint range of motion, and dynamic caloric expenditure","python bc_design.py --spatial fitness-spatial"
15,travel-contour,Topographical Elevation Contour & Flight Arcs,Travel,Domain Stage,"travel, tourism, hospitality, destination, flights, routes, geography, atlas",Three.js r128,"Antique cartographic vellum with terracotta elevation lines and sepia orthographic arcs","Midnight globe horizon with glowing amber great-circle transit trajectories","Bespoke travel agencies, luxury expedition charters, airline booking engines, regional guides","Cartoon airplanes leaving cloud puffs, spinning beach balls, sunglasses and palm tree clipart","Precision topographical contour relief model with orthographic great-circle transit trajectories and altitude profiles","python bc_design.py --spatial travel-spatial"
16,nft-hashcube,Cryptographic Hash Cube & State Machine,NFT / Web3,Domain Stage,"nft, web3, blockchain, hash, decentralized, consensus, ledger, token",Three.js r128,"Matte alabaster cryptographic block with engraved SHA-256 hairline hash inscriptions","Obsidian cryptographic cube with amber state-transition edge glows and decentralized node lattice","Digital provenance registries, decentralized art archives, cryptographic protocol foundations","Pixelated cartoon ape heads, neon casino roulette wheels, flashing moon rocket emojis","3D interlocking state machine cube dynamically solving cryptographic hash rounds with tactile micro-rotations","python bc_design.py --spatial web3-spatial"
17,beauty-emulsion,Viscous Organic Emulsion Waveform,Beauty / Spa,Domain Stage,"beauty, spa, skincare, cosmetic, luxury, wellness, emulsion, botanical",Raw WebGL,"Warm pearlescent alabaster vessel with silky terracotta surface tension ripples","Deep bronze obsidian ground with golden honey droplet diffusion and calm surface waves","Luxury skincare brands, holistic wellness spas, botanical apothecary lines, cosmetic clinics","Cartoon lipstick tubes, spinning perfume mist bottles, glittering disco sparkles","Viscous fluid surface simulation capturing organic surface tension, calm wave propagation, and cosmetic cream rheology","python bc_design.py --spatial beauty-spatial"
18,devtools-mesh,Distributed Server Blade & Packet Conduits,Developer Tools,Domain Stage,"devtools, developer, infrastructure, devops, cluster, servers, terminal, latency",Three.js r128,"Architectural aluminum server chassis with terracotta bus conduits on warm drafting paper","Dark rackmount chassis with illuminated amber fiber conduits and packet traversal pulses","Developer infrastructure, API gateways, observability suites, container orchestration","Generic floating cartoon gears, wrench and screwdriver crossed icons, matrix green rain","Isometric 3D server blade chassis displaying distributed node topologies and low-latency packet routing conduits","python bc_design.py --spatial devtools-spatial"
19,entertainment-wave,Holographic Audio-Visual Waveguide,Entertainment,Domain Stage,"entertainment, media, streaming, film, music, audio, cinema, production",Raw WebGL,"Warm ivory acoustic chamber with terracotta soundwave ribbons and brass focal lens","Dark cinema auditorium with luminous amber acoustic ripple fields and volumetric beam ribbons","Film studios, music streaming platforms, podcast networks, independent media houses","Spinning film reels, clapperboards violently clapping, cartoon popcorn tubs, neon notes","Volumetric frequency waveguide resolving acoustic harmonies into fluid optical ribbon fields with depth of field","python bc_design.py --spatial media-spatial"
20,legal-scales,Balanced Precision Scales & Wax-Sealed Codex,Legal,Domain Stage,"legal, law, attorney, firm, justice, compliance, charter, contract, jurisprudence",Three.js r128,"Parchment legal charter with burnished brass scales of justice and terracotta wax seal","Dark mahogany judicial ground with warm bronze balance scales and gold-leaf stamped legal code","Law firms, legal tech platforms, compliance audits, dispute resolution chambers","Wooden auction gavels slamming violently, cartoon scales tipped 90 degrees, police badges","Precision burnished brass beam balance responding to micro-evidence weights alongside a tactile wax-sealed charter","python bc_design.py --spatial legal-spatial"
21,events-amphitheater,Spatial Amphitheater Plinth & Stage Volume,Events,Domain Stage,"events, conference, summit, symposium, keynote, amphitheater, stage, schedule",Three.js r128,"Warm architectural limestone amphitheater model with terracotta stage focus cone","Dark keynote arena with glowing amber tiered seating contours and dynamic spotlight volumes","Global tech summits, academic symposia, cultural festivals, executive retreats","Party confetti cannons, spinning helium balloons, cartoon calendar pages flying away","Tiered concentric acoustic amphitheater seating volume with interactive session track spotlights and speaker plinth","python bc_design.py --spatial events-spatial"
22,ribbon-field,Tensor Ribbon Field,Foundation Shaders,Background,"ribbon, tensor, wave, mathematical, glsl, flow, continuous, field",Raw WebGL,"Multiply / warm terracotta on ivory paper","Additive terracotta / cinnabar bloom on obsidian","AI SaaS heroes, data intelligence substrates, cognitive dashboards","Cartoon rainbow waves, pixel noise grids","Smooth continuous mathematical ribbons flowing across high-dimensional space resolved into dynamic dot matrix raster","python bc_design.py --spatial ribbon-field"
23,predictive-arc,Predictive Attention Arc,Foundation Shaders,Background,"arc, parabola, probability, attention, predictive, dot matrix, harmonic",Canvas 2D,"Carbon ink / amber dot matrix on parchment","Additive terracotta / gold glow on obsidian","Inference visualizers, reasoning telemetry, research modals","Generic neon laser arcs, sci-fi lightning bolts","Dynamic parabolic probability density arc rendered via harmonic particle rasterization","python bc_design.py --spatial predictive-arc"
24,dot-matrix,Harmonic Dot Matrix Wave,Foundation Shaders,Background,"matrix, grid, raster, particles, harmonic, wave, canvas",Raw WebGL,"Charcoal ink grid with terracotta ripple","Gold ember dots on obsidian","Developer tools, telemetry headers, technical docs","Green matrix digital rain, blinking neon disco floor","High-density mathematical dot grid modulated by real-time distance and phase wave equations","python bc_design.py --spatial dot-matrix"
25,stream-convergence,Attention Stream Convergence,Foundation Shaders,Background,"convergence, streams, tokens, attention, singularity, neural",Raw WebGL,"Terracotta streams on ivory parchment","Blazing cinnabar streams on deep obsidian","Landing heroes, LLM token flow visualizers, agent coordination","Hyperspace wormhole vortex, chaotic fireworks explosion","Multiple asynchronous reasoning streams converging into a quiet central focal singularity","python bc_design.py --spatial stream-convergence"
26,warp-field,Perspective Neural Warp,Foundation Shaders,Background,"warp, corridor, tunnel, perspective, stream, velocity, hyperspace",Three.js r128,"Warm bronze perspective particles on vellum","Golden streak corridor on obsidian","Agent execution screens, high-throughput data pipelines","Spinning 3D starfield screensaver, colorful warp speed streaks","Perspective traversal corridor with depth recycling and pointer-driven velocity control","python bc_design.py --spatial warp-field"
27,constellation-field,Constellation Knowledge Graph,Foundation Shaders,Background,"constellation, graph, nodes, edges, connections, semantic",Canvas 2D,"Etched sepia nodes with terracotta linkages","Glowing brass nodes with ember force lines","Knowledge graphs, multi-agent networks, citation explorers","Spiderwebs, chaotic tangled ball of string, cartoon spider","Interactive proximity graph nodes linked by mathematical force fields and mouse repulsion","python bc_design.py --spatial constellation-field"
28,liquid-metal-button,Tactile Liquid Bronze Button,Foundation UI,UI Element,"button, liquid, metal, mercury, tactile, bronze, ripple",Raw WebGL,"Brushed brass mercury button with dark typography","Molten bronze button with crisp white typography","Primary hero actions, high-conversion flagship triggers","Gaudy chrome reflection spheres, rainbow oil-slick sheen","Raymarched fluid metallic button with pointer refraction and physical surface ripple dynamics","python bc_design.py --spatial liquid-metal-button"
29,spark-badge,Gleaming Telemetry Chip,Foundation UI,UI Element,"badge, chip, spark, gleam, pill, telemetry, status",CSS / WebGL,"Bone chip with traveling gold hairline spark","Obsidian chip with traveling terracotta spark","Real-time status badges, version chips, active sensor monitors","Spinning loading spinners, flashing sirens, neon strobe lights","Subtle tactile badge featuring a 1px border shimmer that travels around the silhouette","python bc_design.py --spatial spark-badge"
30,skeuomorphic-toggle,Etched Precision Instrument Toggle,Foundation UI,UI Element,"toggle, switch, skeuomorphic, brass, etched, physical",CSS / Canvas,"Engraved brass plate with physical tactile thumb","Darkened oxidized plate with warm ember indicator","Settings panels, audio/visual controls, system preferences","Plastic neon toggles, bouncy cartoon switches with sound effects","Precision physical toggle with engraved hairline tick-marks and soft mechanical dampening","python bc_design.py --spatial skeuomorphic-toggle"
31,spatial-continuum,Layered Spatial Scrollytelling,Foundation Templates,Spatial Template,"scrollytelling, continuum, layers, depth, parallax, narrative",Full HTML5,"Parchment codex with multi-plane layers","Obsidian night walk with terracotta horizon","Flagship monographs, deep technical chronicles, spatial portfolios","High-z-index PNG images overlapping text, jerky scroll hijacking","5-layer optical scrollytelling continuum with background WebGL, 3D wordmark, and chapter progression","python bc_design.py --spatial spatial-continuum"
